name,note,latitude,longitude
Chengdu(成都),"My hometown",30.6586,104.0648
Xiamen(厦门),"Undergrad at Xiamen University",24.4798,118.0894
Urbana-Champaign,"Graduate school at UIUC",40.1106,-88.2073
Beijing(北京),"",39.9042,116.4074
Shanghai(上海),"",31.2304,121.4737
Guangzhou(广州),"",23.1291,113.2644
Hong Kong(香港),"",22.3193,114.1694
Hangzhou(杭州),"",30.2741,120.1551
Delingha(德令哈),"",37.3684,97.3718
Chongqing(重庆),"",29.5630,106.5516
New York,"",40.7128,-74.0060
Las Vegas,"",36.1699,-115.1398
Las Cruces,"",32.3199,-106.7637
Los Angeles,"",34.0522,-118.2437
Jeju Island,"",33.4996,126.5312
Thailand,"",15.8700,100.9925
Malaysia,"",4.2105,101.9758
Singapore,"",1.3521,103.8198
Philippines,"",12.8797,121.7740
London,"",51.5074,-0.1278
Munich,"",48.1351,11.5820
Bahamas,"",25.0343,-77.3963
Turks and Caicos Islands,"",21.6940,-71.7979
Dominican Republic,"",18.7357,-70.1627
